"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2000","2000","PC","Percentage","0","Units",,,4.378339,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2001","2001","PC","Percentage","0","Units",,,3.994049,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2002","2002","PC","Percentage","0","Units",,,4.686434,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2003","2003","PC","Percentage","0","Units",,,4.668319,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2004","2004","PC","Percentage","0","Units",,,5.077356,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2005","2005","PC","Percentage","0","Units",,,5.735487,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2006","2006","PC","Percentage","0","Units",,,5.538012,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2007","2007","PC","Percentage","0","Units",,,6.083324,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2008","2008","PC","Percentage","0","Units",,,5.493269,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2009","2009","PC","Percentage","0","Units",,,5.03165,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2010","2010","PC","Percentage","0","Units",,,4.888434,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2011","2011","PC","Percentage","0","Units",,,5.70998,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2012","2012","PC","Percentage","0","Units",,,5.292417,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2013","2013","PC","Percentage","0","Units",,,4.190251,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2014","2014","PC","Percentage","0","Units",,,3.359236,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2015","2015","PC","Percentage","0","Units",,,2.442177,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2016","2016","PC","Percentage","0","Units",,,2.172256,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2017","2017","PC","Percentage","0","Units",,,2.477214,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2018","2018","PC","Percentage","0","Units",,,2.341647,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","1985","1985","PC","Percentage","0","Units",,,-3.186638,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","1986","1986","PC","Percentage","0","Units",,,-0.706032,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","1987","1987","PC","Percentage","0","Units",,,1.638929,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","1988","1988","PC","Percentage","0","Units",,,-0.621623,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","1989","1989","PC","Percentage","0","Units",,,-0.237916,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","1990","1990","PC","Percentage","0","Units",,,-0.244931,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","1991","1991","PC","Percentage","0","Units",,,0.741488,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","1992","1992","PC","Percentage","0","Units",,,2.323337,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","1993","1993","PC","Percentage","0","Units",,,0.422995,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","1994","1994","PC","Percentage","0","Units",,,0.163207,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","1995","1995","PC","Percentage","0","Units",,,2.108562,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","1996","1996","PC","Percentage","0","Units",,,2.429616,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","1997","1997","PC","Percentage","0","Units",,,2.347136,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","1998","1998","PC","Percentage","0","Units",,,2.505234,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","1999","1999","PC","Percentage","0","Units",,,0.451228,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2000","2000","PC","Percentage","0","Units",,,0.045273,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2001","2001","PC","Percentage","0","Units",,,2.423825,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2002","2002","PC","Percentage","0","Units",,,0.480932,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2003","2003","PC","Percentage","0","Units",,,1.338854,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2004","2004","PC","Percentage","0","Units",,,-0.729695,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2005","2005","PC","Percentage","0","Units",,,-0.47694,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2006","2006","PC","Percentage","0","Units",,,-0.024989,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2007","2007","PC","Percentage","0","Units",,,0.227573,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2008","2008","PC","Percentage","0","Units",,,1.490783,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2009","2009","PC","Percentage","0","Units",,,-1.561975,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2010","2010","PC","Percentage","0","Units",,,0.406815,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2011","2011","PC","Percentage","0","Units",,,0.235781,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2012","2012","PC","Percentage","0","Units",,,0.852047,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2013","2013","PC","Percentage","0","Units",,,0.684123,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2014","2014","PC","Percentage","0","Units",,,0.108968,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2015","2015","PC","Percentage","0","Units",,,1.923079,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2016","2016","PC","Percentage","0","Units",,,-0.117628,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2017","2017","PC","Percentage","0","Units",,,0.866171,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","2018","2018","PC","Percentage","0","Units",,,-0.176507,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1985","1985","PC","Percentage","0","Units",,,-2.879102,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1986","1986","PC","Percentage","0","Units",,,2.48333,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1987","1987","PC","Percentage","0","Units",,,1.492259,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1988","1988","PC","Percentage","0","Units",,,0.959938,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1989","1989","PC","Percentage","0","Units",,,1.647425,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1990","1990","PC","Percentage","0","Units",,,5.28197,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1991","1991","PC","Percentage","0","Units",,,4.513891,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1992","1992","PC","Percentage","0","Units",,,2.10675,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1993","1993","PC","Percentage","0","Units",,,-0.649179,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1994","1994","PC","Percentage","0","Units",,,0.034283,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1995","1995","PC","Percentage","0","Units",,,2.945608,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1996","1996","PC","Percentage","0","Units",,,3.664448,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1997","1997","PC","Percentage","0","Units",,,3.46258,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1998","1998","PC","Percentage","0","Units",,,2.620154,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1999","1999","PC","Percentage","0","Units",,,1.55027,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2000","2000","PC","Percentage","0","Units",,,3.48484,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2001","2001","PC","Percentage","0","Units",,,3.499703,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2002","2002","PC","Percentage","0","Units",,,3.126318,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2003","2003","PC","Percentage","0","Units",,,2.823594,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2004","2004","PC","Percentage","0","Units",,,1.636302,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2005","2005","PC","Percentage","0","Units",,,3.389448,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2006","2006","PC","Percentage","0","Units",,,2.343019,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2007","2007","PC","Percentage","0","Units",,,3.692561,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2008","2008","PC","Percentage","0","Units",,,7.029906,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2009","2009","PC","Percentage","0","Units",,,2.013756,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2010","2010","PC","Percentage","0","Units",,,4.090567,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2011","2011","PC","Percentage","0","Units",,,3.036406,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2012","2012","PC","Percentage","0","Units",,,5.107123,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2013","2013","PC","Percentage","0","Units",,,3.346957,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2014","2014","PC","Percentage","0","Units",,,1.651164,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2015","2015","PC","Percentage","0","Units",,,2.216026,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2016","2016","PC","Percentage","0","Units",,,-0.369772,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2017","2017","PC","Percentage","0","Units",,,0.76967,,
"AUS","Australia","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2018","2018","PC","Percentage","0","Units",,,0.317568,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","1985","1985","PC","Percentage","0","Units",,,3.297229,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","1986","1986","PC","Percentage","0","Units",,,3.108431,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","1987","1987","PC","Percentage","0","Units",,,2.966917,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","1988","1988","PC","Percentage","0","Units",,,3.672731,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","1989","1989","PC","Percentage","0","Units",,,3.963,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","1990","1990","PC","Percentage","0","Units",,,4.199094,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","1991","1991","PC","Percentage","0","Units",,,4.483315,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","1992","1992","PC","Percentage","0","Units",,,3.555059,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","1993","1993","PC","Percentage","0","Units",,,2.916441,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","1994","1994","PC","Percentage","0","Units",,,3.394997,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","1995","1995","PC","Percentage","0","Units",,,3.047236,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","1996","1996","PC","Percentage","0","Units",,,3.345168,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","1997","1997","PC","Percentage","0","Units",,,3.372158,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","1998","1998","PC","Percentage","0","Units",,,3.980579,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","1999","1999","PC","Percentage","0","Units",,,4.290403,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2000","2000","PC","Percentage","0","Units",,,4.608253,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2001","2001","PC","Percentage","0","Units",,,4.47065,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2002","2002","PC","Percentage","0","Units",,,3.824686,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2003","2003","PC","Percentage","0","Units",,,3.55128,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2004","2004","PC","Percentage","0","Units",,,3.060324,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2005","2005","PC","Percentage","0","Units",,,2.620245,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2006","2006","PC","Percentage","0","Units",,,2.68733,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2007","2007","PC","Percentage","0","Units",,,3.023878,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2008","2008","PC","Percentage","0","Units",,,3.157866,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2009","2009","PC","Percentage","0","Units",,,2.396566,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2010","2010","PC","Percentage","0","Units",,,2.176317,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2011","2011","PC","Percentage","0","Units",,,2.958445,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2012","2012","PC","Percentage","0","Units",,,2.495929,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2013","2013","PC","Percentage","0","Units",,,2.701804,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2014","2014","PC","Percentage","0","Units",,,2.167761,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2015","2015","PC","Percentage","0","Units",,,2.383187,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2016","2016","PC","Percentage","0","Units",,,2.688778,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2017","2017","PC","Percentage","0","Units",,,2.640155,,
"AUT","Austria","T_KSER","Total capital services","GRW","Annual growth/change","2018","2018","PC","Percentage","0","Units",,,2.742715,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","1989","1989","PC","Percentage","0","Units",,,2.267096,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","1990","1990","PC","Percentage","0","Units",,,2.067615,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","1991","1991","PC","Percentage","0","Units",,,1.732464,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","1992","1992","PC","Percentage","0","Units",,,1.160581,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","1993","1993","PC","Percentage","0","Units",,,1.373337,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","1994","1994","PC","Percentage","0","Units",,,2.784615,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","1995","1995","PC","Percentage","0","Units",,,5.509766,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","1996","1996","PC","Percentage","0","Units",,,-0.204982,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","1997","1997","PC","Percentage","0","Units",,,0.303084,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","1998","1998","PC","Percentage","0","Units",,,2.600832,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","1999","1999","PC","Percentage","0","Units",,,1.114571,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2000","2000","PC","Percentage","0","Units",,,1.323357,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2001","2001","PC","Percentage","0","Units",,,-0.012753,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2002","2002","PC","Percentage","0","Units",,,0.728318,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2003","2003","PC","Percentage","0","Units",,,-0.214628,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2004","2004","PC","Percentage","0","Units",,,1.291855,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2005","2005","PC","Percentage","0","Units",,,1.59201,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2006","2006","PC","Percentage","0","Units",,,2.118895,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2007","2007","PC","Percentage","0","Units",,,1.985072,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2008","2008","PC","Percentage","0","Units",,,-0.441842,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2009","2009","PC","Percentage","0","Units",,,-2.162641,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2010","2010","PC","Percentage","0","Units",,,1.015981,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2011","2011","PC","Percentage","0","Units",,,0.720851,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2012","2012","PC","Percentage","0","Units",,,0.269395,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2013","2013","PC","Percentage","0","Units",,,-0.277429,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2014","2014","PC","Percentage","0","Units",,,-0.203222,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2015","2015","PC","Percentage","0","Units",,,0.673984,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2016","2016","PC","Percentage","0","Units",,,-0.19715,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2017","2017","PC","Percentage","0","Units",,,0.572777,,
"AUT","Austria","T_MFP","Multifactor productivity","GRW","Annual growth/change","2018","2018","PC","Percentage","0","Units",,,0.395945,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1989","1989","PC","Percentage","0","Units",,,2.342316,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1990","1990","PC","Percentage","0","Units",,,1.907916,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1991","1991","PC","Percentage","0","Units",,,3.049035,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1992","1992","PC","Percentage","0","Units",,,3.170079,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1993","1993","PC","Percentage","0","Units",,,4.828695,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1994","1994","PC","Percentage","0","Units",,,4.632114,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1995","1995","PC","Percentage","0","Units",,,7.213191,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1996","1996","PC","Percentage","0","Units",,,1.104851,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1997","1997","PC","Percentage","0","Units",,,2.171111,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1998","1998","PC","Percentage","0","Units",,,4.158651,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","1999","1999","PC","Percentage","0","Units",,,2.605925,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2000","2000","PC","Percentage","0","Units",,,3.605557,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2001","2001","PC","Percentage","0","Units",,,4.470068,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2002","2002","PC","Percentage","0","Units",,,4.100094,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2003","2003","PC","Percentage","0","Units",,,3.382351,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2004","2004","PC","Percentage","0","Units",,,2.316164,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2005","2005","PC","Percentage","0","Units",,,2.757466,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2006","2006","PC","Percentage","0","Units",,,1.932692,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2007","2007","PC","Percentage","0","Units",,,1.831726,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2008","2008","PC","Percentage","0","Units",,,1.707012,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2009","2009","PC","Percentage","0","Units",,,5.514645,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2010","2010","PC","Percentage","0","Units",,,1.872719,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2011","2011","PC","Percentage","0","Units",,,1.094487,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2012","2012","PC","Percentage","0","Units",,,2.88153,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2013","2013","PC","Percentage","0","Units",,,3.333776,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2014","2014","PC","Percentage","0","Units",,,1.813167,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2015","2015","PC","Percentage","0","Units",,,2.844117,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2016","2016","PC","Percentage","0","Units",,,0.598543,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2017","2017","PC","Percentage","0","Units",,,1.065064,,
"AUT","Austria","T_KSERHRS","Capital deepening","GRW","Annual growth/change","2018","2018","PC","Percentage","0","Units",,,1.038598,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","1985","1985","PC","Percentage","0","Units",,,3.442383,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","1986","1986","PC","Percentage","0","Units",,,3.274875,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","1987","1987","PC","Percentage","0","Units",,,3.234296,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","1988","1988","PC","Percentage","0","Units",,,3.968158,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","1989","1989","PC","Percentage","0","Units",,,4.917201,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","1990","1990","PC","Percentage","0","Units",,,5.395174,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","1991","1991","PC","Percentage","0","Units",,,4.822316,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","1992","1992","PC","Percentage","0","Units",,,4.664294,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","1993","1993","PC","Percentage","0","Units",,,4.772061,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","1994","1994","PC","Percentage","0","Units",,,4.387591,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","1995","1995","PC","Percentage","0","Units",,,5.686952,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","1996","1996","PC","Percentage","0","Units",,,5.42863,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","1997","1997","PC","Percentage","0","Units",,,5.436153,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","1998","1998","PC","Percentage","0","Units",,,5.677303,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","1999","1999","PC","Percentage","0","Units",,,5.765111,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","2000","2000","PC","Percentage","0","Units",,,6.048114,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","2001","2001","PC","Percentage","0","Units",,,6.078513,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","2002","2002","PC","Percentage","0","Units",,,4.971092,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","2003","2003","PC","Percentage","0","Units",,,4.286287,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","2004","2004","PC","Percentage","0","Units",,,4.496134,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","2005","2005","PC","Percentage","0","Units",,,4.815537,,
"BEL","Belgium","T_KSER","Total capital services","GRW","Annual growth/change","2006","2006","PC","Percentage","0","Units",,,4.306326,,
