Country,Subject,Measure,Year,Value
Australia,GDP per head of population,"National currency, current prices",1972,3709.891234
Australia,GDP per head of population,"National currency, current prices",1973,4427.095422
Australia,GDP per head of population,"National currency, current prices",1974,5144.45584
Australia,GDP per head of population,"National currency, current prices",1975,5958.53025
Australia,GDP per head of population,"National currency, current prices",1976,6808.878203
Australia,GDP per head of population,"National currency, current prices",1977,7346.480240999999
Australia,GDP per head of population,"National currency, current prices",1978,8217.614649
Australia,GDP per head of population,"National currency, current prices",1979,9205.490492
Australia,GDP per head of population,"National currency, current prices",1980,10274.748318
Australia,GDP per head of population,"National currency, current prices",1981,11767.772544
Australia,GDP per head of population,"National currency, current prices",1982,12457.488705
Australia,GDP per head of population,"National currency, current prices",1983,13861.564946
Australia,GDP per head of population,"National currency, current prices",1984,15082.223962
Australia,GDP per head of population,"National currency, current prices",1985,16483.09191
Australia,GDP per head of population,"National currency, current prices",1986,17836.238326
Australia,GDP per head of population,"National currency, current prices",1987,19914.657616
Australia,GDP per head of population,"National currency, current prices",1988,22231.221494999998
Australia,GDP per head of population,"National currency, current prices",1989,24018.400894
Australia,GDP per head of population,"National currency, current prices",1990,24288.049880000002
Australia,GDP per head of population,"National currency, current prices",1991,24441.101597
Australia,GDP per head of population,"National currency, current prices",1992,25367.59237
Australia,GDP per head of population,"National currency, current prices",1993,26411.243677000002
Australia,GDP per head of population,"National currency, current prices",1994,27776.080425
Australia,GDP per head of population,"National currency, current prices",1995,29303.078606
Australia,GDP per head of population,"National currency, current prices",1996,30468.976339999997
Australia,GDP per head of population,"National currency, current prices",1997,31921.891114
Australia,GDP per head of population,"National currency, current prices",1998,33327.296374
Australia,GDP per head of population,"National currency, current prices",1999,35145.038087
Australia,GDP per head of population,"National currency, current prices",2000,37052.572942
Australia,GDP per head of population,"National currency, current prices",2001,39131.7634
Australia,GDP per head of population,"National currency, current prices",2002,41084.985022
Australia,GDP per head of population,"National currency, current prices",2003,43661.685437
Australia,GDP per head of population,"National currency, current prices",2004,46274.262895
Australia,GDP per head of population,"National currency, current prices",2005,49384.937156
Australia,GDP per head of population,"National currency, current prices",2006,53131.533910000006
Australia,GDP per head of population,"National currency, current prices",2007,56526.580115
Australia,GDP per head of population,"National currency, current prices",2008,59303.17376699999
Australia,GDP per head of population,"National currency, current prices",2009,59986.584730999995
Australia,GDP per head of population,"National currency, current prices",2010,64298.967855999996
Australia,GDP per head of population,"National currency, current prices",2011,67119.874664
Australia,GDP per head of population,"National currency, current prices",2012,67578.991356
Australia,GDP per head of population,"National currency, current prices",2013,69116.35629400001
Australia,GDP per head of population,"National currency, current prices",2014,69203.51682799999
Australia,GDP per head of population,"National currency, current prices",2015,69731.021162
Australia,GDP per head of population,"National currency, current prices",2016,72904.563286
Australia,GDP per head of population,"National currency, current prices",2017,75192.56642799999
Australia,GDP per head of population,"National currency, current prices",2018,77911.966999
Australia,GDP per head of population,"National currency, current prices",2019,80574.47479400001
Australia,GDP per hour worked,"National currency, current prices",1970,3.954473
Australia,GDP per hour worked,"National currency, current prices",1971,4.304178
Australia,GDP per hour worked,"National currency, current prices",1972,4.794044
Australia,GDP per hour worked,"National currency, current prices",1973,5.69433
Australia,GDP per hour worked,"National currency, current prices",1974,6.527677
Australia,GDP per hour worked,"National currency, current prices",1975,7.7183399999999995
Australia,GDP per hour worked,"National currency, current prices",1976,8.743191
Australia,GDP per hour worked,"National currency, current prices",1977,9.45256
Australia,GDP per hour worked,"National currency, current prices",1978,10.702005999999999
Australia,GDP per hour worked,"National currency, current prices",1979,11.831043
Australia,GDP per hour worked,"National currency, current prices",1980,13.096975
Australia,GDP per hour worked,"National currency, current prices",1981,15.062866
Australia,GDP per hour worked,"National currency, current prices",1982,16.800470999999998
Australia,GDP per hour worked,"National currency, current prices",1983,18.575366
Australia,GDP per hour worked,"National currency, current prices",1984,19.86011
Australia,GDP per hour worked,"National currency, current prices",1985,20.40138
Australia,GDP per hour worked,"National currency, current prices",1986,21.853144
Australia,GDP per hour worked,"National currency, current prices",1987,23.928044
Australia,GDP per hour worked,"National currency, current prices",1988,26.060484
Australia,GDP per hour worked,"National currency, current prices",1989,27.739199
Australia,GDP per hour worked,"National currency, current prices",1990,29.032097999999998
Australia,GDP per hour worked,"National currency, current prices",1991,30.140786
Australia,GDP per hour worked,"National currency, current prices",1992,31.340557
Australia,GDP per hour worked,"National currency, current prices",1993,31.729854
Australia,GDP per hour worked,"National currency, current prices",1994,32.504794
Australia,GDP per hour worked,"National currency, current prices",1995,34.389727
Australia,GDP per hour worked,"National currency, current prices",1996,36.038959999999996
Australia,GDP per hour worked,"National currency, current prices",1997,37.720603999999994
Australia,GDP per hour worked,"National currency, current prices",1998,39.097211
Australia,GDP per hour worked,"National currency, current prices",1999,40.460015000000006
Australia,GDP per hour worked,"National currency, current prices",2000,42.763127000000004
Australia,GDP per hour worked,"National currency, current prices",2001,45.520793
Australia,GDP per hour worked,"National currency, current prices",2002,47.591359000000004
Australia,GDP per hour worked,"National currency, current prices",2003,50.225998
Australia,GDP per hour worked,"National currency, current prices",2004,51.983688
Australia,GDP per hour worked,"National currency, current prices",2005,54.855417
Australia,GDP per hour worked,"National currency, current prices",2006,57.938061
Australia,GDP per hour worked,"National currency, current prices",2007,61.292317000000004
Australia,GDP per hour worked,"National currency, current prices",2008,66.620538
Australia,GDP per hour worked,"National currency, current prices",2009,66.746548
Australia,GDP per hour worked,"National currency, current prices",2010,72.08915999999999
Australia,GDP per hour worked,"National currency, current prices",2011,74.291495
Australia,GDP per hour worked,"National currency, current prices",2012,75.976291
Australia,GDP per hour worked,"National currency, current prices",2013,78.389605
Australia,GDP per hour worked,"National currency, current prices",2014,78.31886
Australia,GDP per hour worked,"National currency, current prices",2015,79.87894399999999
Australia,GDP per hour worked,"National currency, current prices",2016,82.699773
Australia,GDP per hour worked,"National currency, current prices",2017,85.27571800000001
Australia,GDP per hour worked,"National currency, current prices",2018,87.856863
Australia,GDP per hour worked,"National currency, current prices",2019,93.084571
Australia,GDP per person employed,"National currency, current prices",1970,7377.406387000001
Australia,GDP per person employed,"National currency, current prices",1971,7952.755559
Australia,GDP per person employed,"National currency, current prices",1972,8764.24942
Australia,GDP per person employed,"National currency, current prices",1973,10337.131185
Australia,GDP per person employed,"National currency, current prices",1974,11958.164835
Australia,GDP per person employed,"National currency, current prices",1975,14041.219811
Australia,GDP per person employed,"National currency, current prices",1976,15992.791716999998
Australia,GDP per person employed,"National currency, current prices",1977,17306.693772
Australia,GDP per person employed,"National currency, current prices",1978,19603.010897
Australia,GDP per person employed,"National currency, current prices",1979,21719.863843
Australia,GDP per person employed,"National currency, current prices",1980,23948.414138
Australia,GDP per person employed,"National currency, current prices",1981,27286.727489999997
Australia,GDP per person employed,"National currency, current prices",1982,29921.812207
Australia,GDP per person employed,"National currency, current prices",1983,33449.004525
Australia,GDP per person employed,"National currency, current prices",1984,35749.31106
Australia,GDP per person employed,"National currency, current prices",1985,38281.847602
Australia,GDP per person employed,"National currency, current prices",1986,41008.755562
Australia,GDP per person employed,"National currency, current prices",1987,45204.466155
Australia,GDP per person employed,"National currency, current prices",1988,49128.592434
Australia,GDP per person employed,"National currency, current prices",1989,52016.357548
Australia,GDP per person employed,"National currency, current prices",1990,53802.34368
Australia,GDP per person employed,"National currency, current prices",1991,55355.504489
Australia,GDP per person employed,"National currency, current prices",1992,58183.794369
Australia,GDP per person employed,"National currency, current prices",1993,59272.385654
Australia,GDP per person employed,"National currency, current prices",1994,60570.090517
Australia,GDP per person employed,"National currency, current prices",1995,63588.167298
Australia,GDP per person employed,"National currency, current prices",1996,66660.092664
Australia,GDP per person employed,"National currency, current prices",1997,69330.294788
Australia,GDP per person employed,"National currency, current prices",1998,72054.789989
Australia,GDP per person employed,"National currency, current prices",1999,74580.82530499999
Australia,GDP per person employed,"National currency, current prices",2000,78300.393173
Australia,GDP per person employed,"National currency, current prices",2001,82570.333203
Australia,GDP per person employed,"National currency, current prices",2002,85389.48322899999
Australia,GDP per person employed,"National currency, current prices",2003,90317.449972
Australia,GDP per person employed,"National currency, current prices",2004,93634.548102
Australia,GDP per person employed,"National currency, current prices",2005,98832.02517000001
Australia,GDP per person employed,"National currency, current prices",2006,104359.60753
Australia,GDP per person employed,"National currency, current prices",2007,110129.02350999998
Australia,GDP per person employed,"National currency, current prices",2008,116822.89004000001
Australia,GDP per person employed,"National currency, current prices",2009,118751.51405999999
Australia,GDP per person employed,"National currency, current prices",2010,126527.24992
Australia,GDP per person employed,"National currency, current prices",2011,131610.45085
Australia,GDP per person employed,"National currency, current prices",2012,133688.81109
Australia,GDP per person employed,"National currency, current prices",2013,138360.75001
Australia,GDP per person employed,"National currency, current prices",2014,137894.93234
Australia,GDP per person employed,"National currency, current prices",2015,138393.41666
Australia,GDP per person employed,"National currency, current prices",2016,143891.62741
Australia,GDP per person employed,"National currency, current prices",2017,147146.62065
Australia,GDP per person employed,"National currency, current prices",2018,151316.36676
Australia,GDP per person employed,"National currency, current prices",2019,158242.04875
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1970,58744.34
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1971,64010.806
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1972,69668.594
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1973,78686.076
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1974,86151.644
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1975,96661.704
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1976,104080.336
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1977,110058.274
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1978,123095.29199999999
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1979,137701.362
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1980,154717.93300000002
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1981,177931.547
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1982,181564.89899999998
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1983,196115.518
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1984,211311.621
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1985,228472.12300000002
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1986,239508.922
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1987,260412.50699999998
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1988,282412.35
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1989,299026.106
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1990,303558.077
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1991,313289.627
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1992,333775.484
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1993,354812.07
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1994,380162.973
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1995,402520.141
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1996,423165.06200000003
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1997,449579.60299999994
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1998,476939.463
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1999,509779.86799999996
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2000,537551.755
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2001,568121.286
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2002,599301.22
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2003,635902.798
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2004,674858.4809999999
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2005,717705.079
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2006,773963.6379999999
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2007,824725.955
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2008,851983.13
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2009,902707.181
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2010,942682.526
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2011,992327.38
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2012,997527.3470000001
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2013,1104626.135
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2014,1118494.158
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2015,1126611.5159999998
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2016,1216419.396
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2017,1262007.0890000002
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2018,1342135.747
Australia,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2019,1419808.241
Australia,GDP per head of population,"USD, current prices, current PPPs",1970,4638.8821259999995
Australia,GDP per head of population,"USD, current prices, current PPPs",1971,4849.8987
Australia,GDP per head of population,"USD, current prices, current PPPs",1972,5195.547594
Australia,GDP per head of population,"USD, current prices, current PPPs",1973,5779.645057
Australia,GDP per head of population,"USD, current prices, current PPPs",1974,6228.439924
Australia,GDP per head of population,"USD, current prices, current PPPs",1975,6919.788636
Australia,GDP per head of population,"USD, current prices, current PPPs",1976,7376.296721
Australia,GDP per head of population,"USD, current prices, current PPPs",1977,7706.334747
Australia,GDP per head of population,"USD, current prices, current PPPs",1978,8530.021627
Australia,GDP per head of population,"USD, current prices, current PPPs",1979,9429.997683
Australia,GDP per head of population,"USD, current prices, current PPPs",1980,10448.711216
Australia,GDP per head of population,"USD, current prices, current PPPs",1981,11923.069763
Australia,GDP per head of population,"USD, current prices, current PPPs",1982,11957.488640000001
Australia,GDP per head of population,"USD, current prices, current PPPs",1983,12740.151233
Australia,GDP per head of population,"USD, current prices, current PPPs",1984,13563.527543
Australia,GDP per head of population,"USD, current prices, current PPPs",1985,14470.976799000002
Australia,GDP per head of population,"USD, current prices, current PPPs",1986,14952.112694999998
Australia,GDP per head of population,"USD, current prices, current PPPs",1987,16011.688893999999
Australia,GDP per head of population,"USD, current prices, current PPPs",1988,17082.563119
Australia,GDP per head of population,"USD, current prices, current PPPs",1989,17783.929608000002
Australia,GDP per head of population,"USD, current prices, current PPPs",1990,17788.238978999998
Australia,GDP per head of population,"USD, current prices, current PPPs",1991,18125.990916
Australia,GDP per head of population,"USD, current prices, current PPPs",1992,19096.23677
Australia,GDP per head of population,"USD, current prices, current PPPs",1993,20119.993989
Australia,GDP per head of population,"USD, current prices, current PPPs",1994,21350.873213
Australia,GDP per head of population,"USD, current prices, current PPPs",1995,22356.144216
Australia,GDP per head of population,"USD, current prices, current PPPs",1996,23219.188249000003
Australia,GDP per head of population,"USD, current prices, current PPPs",1997,24403.170113
Australia,GDP per head of population,"USD, current prices, current PPPs",1998,25631.433554
Australia,GDP per head of population,"USD, current prices, current PPPs",1999,27098.22127
Australia,GDP per head of population,"USD, current prices, current PPPs",2000,28249.377522000003
Australia,GDP per head of population,"USD, current prices, current PPPs",2001,29474.974241000004
Australia,GDP per head of population,"USD, current prices, current PPPs",2002,30740.962904000004
Australia,GDP per head of population,"USD, current prices, current PPPs",2003,32245.447575
Australia,GDP per head of population,"USD, current prices, current PPPs",2004,33856.852358
Australia,GDP per head of population,"USD, current prices, current PPPs",2005,35570.808007
Australia,GDP per head of population,"USD, current prices, current PPPs",2006,37844.782064
Australia,GDP per head of population,"USD, current prices, current PPPs",2007,39597.743139
Australia,GDP per head of population,"USD, current prices, current PPPs",2008,40094.833217
Australia,GDP per head of population,"USD, current prices, current PPPs",2009,41615.326646
Australia,GDP per head of population,"USD, current prices, current PPPs",2010,42787.358544999996
Australia,GDP per head of population,"USD, current prices, current PPPs",2011,44419.309757999996
Australia,GDP per head of population,"USD, current prices, current PPPs",2012,43879.180373
Australia,GDP per head of population,"USD, current prices, current PPPs",2013,47761.214064
Australia,GDP per head of population,"USD, current prices, current PPPs",2014,47644.762797
Australia,GDP per head of population,"USD, current prices, current PPPs",2015,47304.816762
Australia,GDP per head of population,"USD, current prices, current PPPs",2016,50284.172808999996
Australia,GDP per head of population,"USD, current prices, current PPPs",2017,51297.139205
Australia,GDP per head of population,"USD, current prices, current PPPs",2018,53700.680873000005
Australia,GDP per head of population,"USD, current prices, current PPPs",2019,55961.855701
Australia,GDP per hour worked,"USD, current prices, current PPPs",1970,5.762338
Australia,GDP per hour worked,"USD, current prices, current PPPs",1971,6.193551
Australia,GDP per hour worked,"USD, current prices, current PPPs",1972,6.713858
Australia,GDP per hour worked,"USD, current prices, current PPPs",1973,7.434041000000001
Australia,GDP per hour worked,"USD, current prices, current PPPs",1974,7.903117999999999
Australia,GDP per hour worked,"USD, current prices, current PPPs",1975,8.963499
Australia,GDP per hour worked,"USD, current prices, current PPPs",1976,9.471805999999999
Australia,GDP per hour worked,"USD, current prices, current PPPs",1977,9.915578
Australia,GDP per hour worked,"USD, current prices, current PPPs",1978,11.108861
Australia,GDP per hour worked,"USD, current prices, current PPPs",1979,12.119583
Australia,GDP per hour worked,"USD, current prices, current PPPs",1980,13.318721
Australia,GDP per hour worked,"USD, current prices, current PPPs",1981,15.261648000000001
Australia,GDP per hour worked,"USD, current prices, current PPPs",1982,16.126159
Australia,GDP per hour worked,"USD, current prices, current PPPs",1983,17.072601000000002
Australia,GDP per hour worked,"USD, current prices, current PPPs",1984,17.860306
Australia,GDP per hour worked,"USD, current prices, current PPPs",1985,17.910954
Australia,GDP per hour worked,"USD, current prices, current PPPs",1986,18.319482999999998
Australia,GDP per hour worked,"USD, current prices, current PPPs",1987,19.238513
Australia,GDP per hour worked,"USD, current prices, current PPPs",1988,20.024984
Australia,GDP per hour worked,"USD, current prices, current PPPs",1989,20.538918
Australia,GDP per hour worked,"USD, current prices, current PPPs",1990,21.262716
Australia,GDP per hour worked,"USD, current prices, current PPPs",1991,22.352987
Australia,GDP per hour worked,"USD, current prices, current PPPs",1992,23.592570000000002
Australia,GDP per hour worked,"USD, current prices, current PPPs",1993,24.171692999999998
Australia,GDP per hour worked,"USD, current prices, current PPPs",1994,24.985733
Australia,GDP per hour worked,"USD, current prices, current PPPs",1995,26.236890999999996
Australia,GDP per hour worked,"USD, current prices, current PPPs",1996,27.46385
Australia,GDP per hour worked,"USD, current prices, current PPPs",1997,28.836084000000003
Australia,GDP per hour worked,"USD, current prices, current PPPs",1998,30.068973
Australia,GDP per hour worked,"USD, current prices, current PPPs",1999,31.196278999999997
Australia,GDP per hour worked,"USD, current prices, current PPPs",2000,32.603181
Australia,GDP per hour worked,"USD, current prices, current PPPs",2001,34.287343
Australia,GDP per hour worked,"USD, current prices, current PPPs",2002,35.609218
Australia,GDP per hour worked,"USD, current prices, current PPPs",2003,37.093387
Australia,GDP per hour worked,"USD, current prices, current PPPs",2004,38.034188
Australia,GDP per hour worked,"USD, current prices, current PPPs",2005,39.511066
Australia,GDP per hour worked,"USD, current prices, current PPPs",2006,41.268398
Australia,GDP per hour worked,"USD, current prices, current PPPs",2007,42.936215999999995
Australia,GDP per hour worked,"USD, current prices, current PPPs",2008,45.042097999999996
Australia,GDP per hour worked,"USD, current prices, current PPPs",2009,46.305009999999996
Australia,GDP per hour worked,"USD, current prices, current PPPs",2010,47.971295
Australia,GDP per hour worked,"USD, current prices, current PPPs",2011,49.165421
Australia,GDP per hour worked,"USD, current prices, current PPPs",2012,49.331564
Australia,GDP per hour worked,"USD, current prices, current PPPs",2013,54.169272
Australia,GDP per hour worked,"USD, current prices, current PPPs",2014,53.920432
Australia,GDP per hour worked,"USD, current prices, current PPPs",2015,54.189065
Australia,GDP per hour worked,"USD, current prices, current PPPs",2016,57.040183999999996
Australia,GDP per hour worked,"USD, current prices, current PPPs",2017,58.175968000000005
Australia,GDP per hour worked,"USD, current prices, current PPPs",2018,60.555181999999995
Australia,GDP per hour worked,"USD, current prices, current PPPs",2019,64.650565
Australia,GDP per person employed,"USD, current prices, current PPPs",1970,10750.133182
Australia,GDP per person employed,"USD, current prices, current PPPs",1971,11443.716691
Australia,GDP per person employed,"USD, current prices, current PPPs",1972,12273.964954000001
Australia,GDP per person employed,"USD, current prices, current PPPs",1973,13495.292838999998
Australia,GDP per person employed,"USD, current prices, current PPPs",1974,14477.85997
Australia,GDP per person employed,"USD, current prices, current PPPs",1975,16306.416046
Australia,GDP per person employed,"USD, current prices, current PPPs",1976,17325.552548
Australia,GDP per person employed,"USD, current prices, current PPPs",1977,18154.431945
Australia,GDP per person employed,"USD, current prices, current PPPs",1978,20348.253607
Australia,GDP per person employed,"USD, current prices, current PPPs",1979,22249.576588
Australia,GDP per person employed,"USD, current prices, current PPPs",1980,24353.887382
Australia,GDP per person employed,"USD, current prices, current PPPs",1981,27646.825622000004
Australia,GDP per person employed,"USD, current prices, current PPPs",1982,28720.855222000002
Australia,GDP per person employed,"USD, current prices, current PPPs",1983,30742.948425
Australia,GDP per person employed,"USD, current prices, current PPPs",1984,32149.553435
Australia,GDP per person employed,"USD, current prices, current PPPs",1985,33608.726537
Australia,GDP per person employed,"USD, current prices, current PPPs",1986,34377.626238
Australia,GDP per person employed,"USD, current prices, current PPPs",1987,36345.081227999995
Australia,GDP per person employed,"USD, current prices, current PPPs",1988,37750.614891000005
Australia,GDP per person employed,"USD, current prices, current PPPs",1989,38514.439206999996
Australia,GDP per person employed,"USD, current prices, current PPPs",1990,39404.108264999995
Australia,GDP per person employed,"USD, current prices, current PPPs",1991,41052.706547
Australia,GDP per person employed,"USD, current prices, current PPPs",1992,43799.643939999994
Australia,GDP per person employed,"USD, current prices, current PPPs",1993,45153.498171
Australia,GDP per person employed,"USD, current prices, current PPPs",1994,46558.920603
Australia,GDP per person employed,"USD, current prices, current PPPs",1995,48513.204284
Australia,GDP per person employed,"USD, current prices, current PPPs",1996,50798.990521
Australia,GDP per person employed,"USD, current prices, current PPPs",1997,53000.58733
Australia,GDP per person employed,"USD, current prices, current PPPs",1998,55416.063191999994
Australia,GDP per person employed,"USD, current prices, current PPPs",1999,57504.780665
Australia,GDP per person employed,"USD, current prices, current PPPs",2000,59697.267727
Australia,GDP per person employed,"USD, current prices, current PPPs",2001,62193.937425
Australia,GDP per person employed,"USD, current prices, current PPPs",2002,63890.857813
Australia,GDP per person employed,"USD, current prices, current PPPs",2003,66702.111223
Australia,GDP per person employed,"USD, current prices, current PPPs",2004,68508.299698
Australia,GDP per person employed,"USD, current prices, current PPPs",2005,71186.381815
Australia,GDP per person employed,"USD, current prices, current PPPs",2006,74333.758365
Australia,GDP per person employed,"USD, current prices, current PPPs",2007,77147.083305
Australia,GDP per person employed,"USD, current prices, current PPPs",2008,78983.8721
Australia,GDP per person employed,"USD, current prices, current PPPs",2009,82383.13732000001
Australia,GDP per person employed,"USD, current prices, current PPPs",2010,84196.79177699999
Australia,GDP per person employed,"USD, current prices, current PPPs",2011,87098.574198
Australia,GDP per person employed,"USD, current prices, current PPPs",2012,86804.424538
Australia,GDP per person employed,"USD, current prices, current PPPs",2013,95610.905345
Australia,GDP per person employed,"USD, current prices, current PPPs",2014,94936.957589
Australia,GDP per person employed,"USD, current prices, current PPPs",2015,93884.688724
Australia,GDP per person employed,"USD, current prices, current PPPs",2016,99245.796589
