Country,Subject,Measure,Year,Unit,Value
Australia,Capital deepening,Annual growth/change,1988,Percentage,0.959938
Australia,Capital deepening,Annual growth/change,1989,Percentage,1.647425
Australia,Capital deepening,Annual growth/change,1990,Percentage,5.281969999999999
Australia,Capital deepening,Annual growth/change,1991,Percentage,4.513891
Australia,Capital deepening,Annual growth/change,1992,Percentage,2.10675
Australia,Capital deepening,Annual growth/change,1993,Percentage,-0.649179
Australia,Capital deepening,Annual growth/change,1994,Percentage,0.034283
Australia,Capital deepening,Annual growth/change,1995,Percentage,2.945608
Australia,Capital deepening,Annual growth/change,1996,Percentage,3.664448
Australia,Capital deepening,Annual growth/change,1997,Percentage,3.4625800000000004
Australia,Capital deepening,Annual growth/change,1998,Percentage,2.620154
Australia,Capital deepening,Annual growth/change,1999,Percentage,1.55027
Australia,Capital deepening,Annual growth/change,2000,Percentage,3.48484
Australia,Capital deepening,Annual growth/change,2001,Percentage,3.499703
Australia,Capital deepening,Annual growth/change,2002,Percentage,3.126318
Australia,Capital deepening,Annual growth/change,2003,Percentage,2.823594
Australia,Capital deepening,Annual growth/change,2004,Percentage,1.6363020000000001
Australia,Capital deepening,Annual growth/change,2005,Percentage,3.3894480000000002
Australia,Capital deepening,Annual growth/change,2006,Percentage,2.343019
Australia,Capital deepening,Annual growth/change,2007,Percentage,3.692561
Australia,Capital deepening,Annual growth/change,2008,Percentage,7.0299059999999995
Australia,Capital deepening,Annual growth/change,2009,Percentage,2.0137560000000003
Australia,Capital deepening,Annual growth/change,2010,Percentage,4.090567
Australia,Capital deepening,Annual growth/change,2011,Percentage,3.036406
Australia,Capital deepening,Annual growth/change,2012,Percentage,5.1071230000000005
Australia,Capital deepening,Annual growth/change,2013,Percentage,3.346957
Australia,Capital deepening,Annual growth/change,2014,Percentage,1.6511639999999999
Australia,Capital deepening,Annual growth/change,2015,Percentage,2.216026
Australia,Capital deepening,Annual growth/change,2016,Percentage,-0.369772
Australia,Capital deepening,Annual growth/change,2017,Percentage,0.76967
Australia,Capital deepening,Annual growth/change,2018,Percentage,0.31756799999999996
Austria,Total capital services,Annual growth/change,1985,Percentage,3.297229
Austria,Total capital services,Annual growth/change,1986,Percentage,3.108431
Austria,Total capital services,Annual growth/change,1987,Percentage,2.966917
Austria,Total capital services,Annual growth/change,1988,Percentage,3.6727309999999997
Austria,Total capital services,Annual growth/change,1989,Percentage,3.963
Austria,Total capital services,Annual growth/change,1990,Percentage,4.1990940000000005
Austria,Total capital services,Annual growth/change,1991,Percentage,4.483315
Austria,Total capital services,Annual growth/change,1992,Percentage,3.5550589999999995
Austria,Total capital services,Annual growth/change,1993,Percentage,2.916441
Austria,Total capital services,Annual growth/change,1994,Percentage,3.394997
Austria,Total capital services,Annual growth/change,1995,Percentage,3.0472360000000003
Austria,Total capital services,Annual growth/change,1996,Percentage,3.345168
Austria,Total capital services,Annual growth/change,1997,Percentage,3.372158
Austria,Total capital services,Annual growth/change,1998,Percentage,3.980579
Austria,Total capital services,Annual growth/change,1999,Percentage,4.2904029999999995
Austria,Total capital services,Annual growth/change,2000,Percentage,4.6082529999999995
Austria,Total capital services,Annual growth/change,2001,Percentage,4.47065
Austria,Total capital services,Annual growth/change,2002,Percentage,3.8246860000000003
Austria,Total capital services,Annual growth/change,2003,Percentage,3.55128
Austria,Total capital services,Annual growth/change,2004,Percentage,3.060324
Austria,Total capital services,Annual growth/change,2005,Percentage,2.620245
Austria,Total capital services,Annual growth/change,2006,Percentage,2.6873299999999998
Austria,Total capital services,Annual growth/change,2007,Percentage,3.023878
Austria,Total capital services,Annual growth/change,2008,Percentage,3.157866
Austria,Total capital services,Annual growth/change,2009,Percentage,2.396566
Austria,Total capital services,Annual growth/change,2010,Percentage,2.1763169999999996
Austria,Total capital services,Annual growth/change,2011,Percentage,2.958445
Austria,Total capital services,Annual growth/change,2012,Percentage,2.4959290000000003
Austria,Total capital services,Annual growth/change,2013,Percentage,2.701804
Austria,Total capital services,Annual growth/change,2014,Percentage,2.167761
Austria,Total capital services,Annual growth/change,2015,Percentage,2.383187
Austria,Total capital services,Annual growth/change,2016,Percentage,2.6887779999999997
Austria,Total capital services,Annual growth/change,2017,Percentage,2.640155
Austria,Total capital services,Annual growth/change,2018,Percentage,2.742715
Austria,Multifactor productivity,Annual growth/change,1989,Percentage,2.267096
Austria,Multifactor productivity,Annual growth/change,1990,Percentage,2.067615
Austria,Multifactor productivity,Annual growth/change,1991,Percentage,1.732464
Austria,Multifactor productivity,Annual growth/change,1992,Percentage,1.1605809999999999
Austria,Multifactor productivity,Annual growth/change,1993,Percentage,1.373337
Austria,Multifactor productivity,Annual growth/change,1994,Percentage,2.784615
Austria,Multifactor productivity,Annual growth/change,1995,Percentage,5.509766
Austria,Multifactor productivity,Annual growth/change,1996,Percentage,-0.20498200000000003
Austria,Multifactor productivity,Annual growth/change,1997,Percentage,0.303084
Austria,Multifactor productivity,Annual growth/change,1998,Percentage,2.600832
Austria,Multifactor productivity,Annual growth/change,1999,Percentage,1.114571
Austria,Multifactor productivity,Annual growth/change,2000,Percentage,1.323357
Austria,Multifactor productivity,Annual growth/change,2001,Percentage,-0.012753
Austria,Multifactor productivity,Annual growth/change,2002,Percentage,0.728318
Austria,Multifactor productivity,Annual growth/change,2003,Percentage,-0.214628
Austria,Multifactor productivity,Annual growth/change,2004,Percentage,1.291855
Austria,Multifactor productivity,Annual growth/change,2005,Percentage,1.5920100000000001
Austria,Multifactor productivity,Annual growth/change,2006,Percentage,2.118895
Austria,Multifactor productivity,Annual growth/change,2007,Percentage,1.9850720000000002
Austria,Multifactor productivity,Annual growth/change,2008,Percentage,-0.441842
Austria,Multifactor productivity,Annual growth/change,2009,Percentage,-2.162641
Austria,Multifactor productivity,Annual growth/change,2010,Percentage,1.015981
Austria,Multifactor productivity,Annual growth/change,2011,Percentage,0.720851
Austria,Multifactor productivity,Annual growth/change,2012,Percentage,0.269395
Austria,Multifactor productivity,Annual growth/change,2013,Percentage,-0.277429
Austria,Multifactor productivity,Annual growth/change,2014,Percentage,-0.203222
Austria,Multifactor productivity,Annual growth/change,2015,Percentage,0.673984
Austria,Multifactor productivity,Annual growth/change,2016,Percentage,-0.19715
Austria,Multifactor productivity,Annual growth/change,2017,Percentage,0.5727770000000001
Austria,Multifactor productivity,Annual growth/change,2018,Percentage,0.395945
Austria,Capital deepening,Annual growth/change,1989,Percentage,2.342316
Austria,Capital deepening,Annual growth/change,1990,Percentage,1.907916
Austria,Capital deepening,Annual growth/change,1991,Percentage,3.049035
Austria,Capital deepening,Annual growth/change,1992,Percentage,3.170079
Austria,Capital deepening,Annual growth/change,1993,Percentage,4.828695
Austria,Capital deepening,Annual growth/change,1994,Percentage,4.632114
Austria,Capital deepening,Annual growth/change,1995,Percentage,7.213191
Austria,Capital deepening,Annual growth/change,1996,Percentage,1.104851
Austria,Capital deepening,Annual growth/change,1997,Percentage,2.1711110000000002
Austria,Capital deepening,Annual growth/change,1998,Percentage,4.158651
Austria,Capital deepening,Annual growth/change,1999,Percentage,2.605925
Austria,Capital deepening,Annual growth/change,2000,Percentage,3.605557
Austria,Capital deepening,Annual growth/change,2001,Percentage,4.470068
Austria,Capital deepening,Annual growth/change,2002,Percentage,4.100094
Austria,Capital deepening,Annual growth/change,2003,Percentage,3.3823510000000003
Austria,Capital deepening,Annual growth/change,2004,Percentage,2.316164
Austria,Capital deepening,Annual growth/change,2005,Percentage,2.757466
Austria,Capital deepening,Annual growth/change,2006,Percentage,1.9326919999999999
Austria,Capital deepening,Annual growth/change,2007,Percentage,1.8317259999999997
Austria,Capital deepening,Annual growth/change,2008,Percentage,1.707012
Austria,Capital deepening,Annual growth/change,2009,Percentage,5.514645
Austria,Capital deepening,Annual growth/change,2010,Percentage,1.8727189999999998
Austria,Capital deepening,Annual growth/change,2011,Percentage,1.094487
Austria,Capital deepening,Annual growth/change,2012,Percentage,2.88153
Austria,Capital deepening,Annual growth/change,2013,Percentage,3.3337760000000003
Austria,Capital deepening,Annual growth/change,2014,Percentage,1.8131669999999998
Austria,Capital deepening,Annual growth/change,2015,Percentage,2.844117
Austria,Capital deepening,Annual growth/change,2016,Percentage,0.598543
Austria,Capital deepening,Annual growth/change,2017,Percentage,1.065064
Austria,Capital deepening,Annual growth/change,2018,Percentage,1.038598
Belgium,Total capital services,Annual growth/change,1985,Percentage,3.442383
Belgium,Total capital services,Annual growth/change,1986,Percentage,3.274875
Belgium,Total capital services,Annual growth/change,1987,Percentage,3.234296
Belgium,Total capital services,Annual growth/change,1988,Percentage,3.9681580000000003
Belgium,Total capital services,Annual growth/change,1989,Percentage,4.917201
Belgium,Total capital services,Annual growth/change,1990,Percentage,5.395174
Belgium,Total capital services,Annual growth/change,1991,Percentage,4.822316000000001
Belgium,Total capital services,Annual growth/change,1992,Percentage,4.664294
Belgium,Total capital services,Annual growth/change,1993,Percentage,4.772061
Belgium,Total capital services,Annual growth/change,1994,Percentage,4.3875910000000005
Belgium,Total capital services,Annual growth/change,1995,Percentage,5.686952
Belgium,Total capital services,Annual growth/change,1996,Percentage,5.42863
Belgium,Total capital services,Annual growth/change,1997,Percentage,5.436153
Belgium,Total capital services,Annual growth/change,1998,Percentage,5.677303
Belgium,Total capital services,Annual growth/change,1999,Percentage,5.765111
Belgium,Total capital services,Annual growth/change,2000,Percentage,6.048114
Belgium,Total capital services,Annual growth/change,2001,Percentage,6.078513
Belgium,Total capital services,Annual growth/change,2002,Percentage,4.971092
Belgium,Total capital services,Annual growth/change,2003,Percentage,4.286287000000001
Belgium,Total capital services,Annual growth/change,2004,Percentage,4.496134
Belgium,Total capital services,Annual growth/change,2005,Percentage,4.815537
Belgium,Total capital services,Annual growth/change,2006,Percentage,4.306326
Belgium,Total capital services,Annual growth/change,2007,Percentage,4.561102
Belgium,Total capital services,Annual growth/change,2008,Percentage,4.331599
Belgium,Total capital services,Annual growth/change,2009,Percentage,3.3458010000000002
Belgium,Total capital services,Annual growth/change,2010,Percentage,3.0020729999999998
Belgium,Total capital services,Annual growth/change,2011,Percentage,3.182384
Belgium,Total capital services,Annual growth/change,2012,Percentage,2.671344
Belgium,Total capital services,Annual growth/change,2013,Percentage,2.18647
Belgium,Total capital services,Annual growth/change,2014,Percentage,2.451833
Belgium,Total capital services,Annual growth/change,2015,Percentage,2.735985
Belgium,Total capital services,Annual growth/change,2016,Percentage,2.8170040000000003
Belgium,Total capital services,Annual growth/change,2017,Percentage,2.871027
Belgium,Total capital services,Annual growth/change,2018,Percentage,3.009281
Belgium,Multifactor productivity,Annual growth/change,1985,Percentage,-0.107825
Belgium,Multifactor productivity,Annual growth/change,1986,Percentage,0.967786
Belgium,Multifactor productivity,Annual growth/change,1987,Percentage,1.23135
Belgium,Multifactor productivity,Annual growth/change,1988,Percentage,2.496282
Belgium,Multifactor productivity,Annual growth/change,1989,Percentage,1.287074
Belgium,Multifactor productivity,Annual growth/change,1990,Percentage,0.225029
Belgium,Multifactor productivity,Annual growth/change,1991,Percentage,1.960378
Belgium,Multifactor productivity,Annual growth/change,1992,Percentage,1.468435
Belgium,Multifactor productivity,Annual growth/change,1993,Percentage,0.402188
Belgium,Multifactor productivity,Annual growth/change,1994,Percentage,2.33018
Belgium,Multifactor productivity,Annual growth/change,1995,Percentage,-0.8848389999999999
Belgium,Multifactor productivity,Annual growth/change,1996,Percentage,0.9909600000000001
Belgium,Multifactor productivity,Annual growth/change,1997,Percentage,1.2522389999999999
Belgium,Multifactor productivity,Annual growth/change,1998,Percentage,-1.25178
Belgium,Multifactor productivity,Annual growth/change,1999,Percentage,1.137536
Belgium,Multifactor productivity,Annual growth/change,2000,Percentage,0.102627
Belgium,Multifactor productivity,Annual growth/change,2001,Percentage,-1.0917729999999999
Belgium,Multifactor productivity,Annual growth/change,2002,Percentage,0.9128709999999999
Belgium,Multifactor productivity,Annual growth/change,2003,Percentage,0.27503299999999997
Belgium,Multifactor productivity,Annual growth/change,2004,Percentage,1.897759
Belgium,Multifactor productivity,Annual growth/change,2005,Percentage,0.420983
Belgium,Multifactor productivity,Annual growth/change,2006,Percentage,0.301951
Belgium,Multifactor productivity,Annual growth/change,2007,Percentage,1.029332
Belgium,Multifactor productivity,Annual growth/change,2008,Percentage,-1.665286
Belgium,Multifactor productivity,Annual growth/change,2009,Percentage,-1.715179
Belgium,Multifactor productivity,Annual growth/change,2010,Percentage,1.674816
Belgium,Multifactor productivity,Annual growth/change,2011,Percentage,-0.8167979999999999
Belgium,Multifactor productivity,Annual growth/change,2012,Percentage,-0.300223
Belgium,Multifactor productivity,Annual growth/change,2013,Percentage,0.21691999999999997
Belgium,Multifactor productivity,Annual growth/change,2014,Percentage,0.7292489999999999
Belgium,Multifactor productivity,Annual growth/change,2015,Percentage,1.017525
Belgium,Multifactor productivity,Annual growth/change,2016,Percentage,-0.167597
Belgium,Multifactor productivity,Annual growth/change,2017,Percentage,0.0707
Belgium,Multifactor productivity,Annual growth/change,2018,Percentage,-0.48026800000000003
Belgium,Capital deepening,Annual growth/change,1985,Percentage,2.600975
Belgium,Capital deepening,Annual growth/change,1986,Percentage,3.8195059999999996
Belgium,Capital deepening,Annual growth/change,1987,Percentage,3.413274
Belgium,Capital deepening,Annual growth/change,1988,Percentage,2.764839
Belgium,Capital deepening,Annual growth/change,1989,Percentage,3.935162
Belgium,Capital deepening,Annual growth/change,1990,Percentage,3.4615480000000005
Belgium,Capital deepening,Annual growth/change,1991,Percentage,6.759749
Belgium,Capital deepening,Annual growth/change,1992,Percentage,6.220744
Belgium,Capital deepening,Annual growth/change,1993,Percentage,8.209775
Belgium,Capital deepening,Annual growth/change,1994,Percentage,4.812666
Belgium,Capital deepening,Annual growth/change,1995,Percentage,3.327657
Belgium,Capital deepening,Annual growth/change,1996,Percentage,6.8247919999999995
Belgium,Capital deepening,Annual growth/change,1997,Percentage,3.924697
Belgium,Capital deepening,Annual growth/change,1998,Percentage,3.239159
Belgium,Capital deepening,Annual growth/change,1999,Percentage,4.437245
Belgium,Capital deepening,Annual growth/change,2000,Percentage,3.2766290000000002
Belgium,Capital deepening,Annual growth/change,2001,Percentage,5.1244760000000005
Belgium,Capital deepening,Annual growth/change,2002,Percentage,5.5178769999999995
Belgium,Capital deepening,Annual growth/change,2003,Percentage,4.679684
Belgium,Capital deepening,Annual growth/change,2004,Percentage,3.825334
Belgium,Capital deepening,Annual growth/change,2005,Percentage,3.863475
Belgium,Capital deepening,Annual growth/change,2006,Percentage,2.757157
Belgium,Capital deepening,Annual growth/change,2007,Percentage,2.644382
Belgium,Capital deepening,Annual growth/change,2008,Percentage,2.965907
Belgium,Capital deepening,Annual growth/change,2009,Percentage,4.914522
Belgium,Capital deepening,Annual growth/change,2010,Percentage,2.509633
Belgium,Capital deepening,Annual growth/change,2011,Percentage,0.9343440000000001
Belgium,Capital deepening,Annual growth/change,2012,Percentage,2.219879
Belgium,Capital deepening,Annual growth/change,2013,Percentage,2.635815
Belgium,Capital deepening,Annual growth/change,2014,Percentage,2.196811
Belgium,Capital deepening,Annual growth/change,2015,Percentage,2.37244
Belgium,Capital deepening,Annual growth/change,2016,Percentage,1.563617
Belgium,Capital deepening,Annual growth/change,2017,Percentage,1.357283
Belgium,Capital deepening,Annual growth/change,2018,Percentage,1.477423
Canada,Total capital services,Annual growth/change,1985,Percentage,3.847682
Canada,Total capital services,Annual growth/change,1986,Percentage,3.3635410000000006
Canada,Total capital services,Annual growth/change,1987,Percentage,3.48993
Canada,Total capital services,Annual growth/change,1988,Percentage,4.236305000000001
Canada,Total capital services,Annual growth/change,1989,Percentage,4.073544999999999
Canada,Total capital services,Annual growth/change,1990,Percentage,3.4878410000000004
Canada,Total capital services,Annual growth/change,1991,Percentage,3.1013990000000002
Canada,Total capital services,Annual growth/change,1992,Percentage,2.367979
Canada,Total capital services,Annual growth/change,1993,Percentage,2.327355
Canada,Total capital services,Annual growth/change,1994,Percentage,2.8577470000000003
Canada,Total capital services,Annual growth/change,1995,Percentage,2.981505
Canada,Total capital services,Annual growth/change,1996,Percentage,3.256904
Canada,Total capital services,Annual growth/change,1997,Percentage,4.00127
Canada,Total capital services,Annual growth/change,1998,Percentage,4.504106
Canada,Total capital services,Annual growth/change,1999,Percentage,4.512373999999999
Canada,Total capital services,Annual growth/change,2000,Percentage,4.614674
Canada,Total capital services,Annual growth/change,2001,Percentage,4.259898000000001
Canada,Total capital services,Annual growth/change,2002,Percentage,3.225165
Canada,Total capital services,Annual growth/change,2003,Percentage,3.513808
Canada,Total capital services,Annual growth/change,2004,Percentage,4.069668
Canada,Total capital services,Annual growth/change,2005,Percentage,4.97431
Canada,Total capital services,Annual growth/change,2006,Percentage,5.174633
Canada,Total capital services,Annual growth/change,2007,Percentage,4.976332
Canada,Total capital services,Annual growth/change,2008,Percentage,4.437354
Canada,Total capital services,Annual growth/change,2009,Percentage,2.352902
Canada,Total capital services,Annual growth/change,2010,Percentage,2.841344
Canada,Total capital services,Annual growth/change,2011,Percentage,2.9268560000000003
Canada,Total capital services,Annual growth/change,2012,Percentage,3.0573639999999997
Canada,Total capital services,Annual growth/change,2013,Percentage,2.75552
Canada,Total capital services,Annual growth/change,2014,Percentage,2.753571
Canada,Total capital services,Annual growth/change,2015,Percentage,1.8906630000000002
Canada,Total capital services,Annual growth/change,2016,Percentage,1.23232
Canada,Total capital services,Annual growth/change,2017,Percentage,1.4514200000000002
Canada,Total capital services,Annual growth/change,2018,Percentage,1.549863
Canada,Total capital services,Annual growth/change,2019,Percentage,1.583272
Canada,Multifactor productivity,Annual growth/change,1985,Percentage,0.860197
Canada,Multifactor productivity,Annual growth/change,1986,Percentage,-0.967873
Canada,Multifactor productivity,Annual growth/change,1987,Percentage,0.472711
Canada,Multifactor productivity,Annual growth/change,1988,Percentage,0.713296
Canada,Multifactor productivity,Annual growth/change,1989,Percentage,-0.334406
Canada,Multifactor productivity,Annual growth/change,1990,Percentage,-1.05449
Canada,Multifactor productivity,Annual growth/change,1991,Percentage,-0.892991
Canada,Multifactor productivity,Annual growth/change,1992,Percentage,1.029575
Canada,Multifactor productivity,Annual growth/change,1993,Percentage,1.529655
Canada,Multifactor productivity,Annual growth/change,1994,Percentage,1.855089
Canada,Multifactor productivity,Annual growth/change,1995,Percentage,0.8246290000000001
Canada,Multifactor productivity,Annual growth/change,1996,Percentage,-0.576666
Canada,Multifactor productivity,Annual growth/change,1997,Percentage,1.391689
Canada,Multifactor productivity,Annual growth/change,1998,Percentage,1.197075
Canada,Multifactor productivity,Annual growth/change,1999,Percentage,1.9803389999999998
Canada,Multifactor productivity,Annual growth/change,2000,Percentage,2.392747
Canada,Multifactor productivity,Annual growth/change,2001,Percentage,0.480261
Canada,Multifactor productivity,Annual growth/change,2002,Percentage,1.091324
Canada,Multifactor productivity,Annual growth/change,2003,Percentage,-0.288754
Canada,Multifactor productivity,Annual growth/change,2004,Percentage,0.354179
Canada,Multifactor productivity,Annual growth/change,2005,Percentage,1.199087
Canada,Multifactor productivity,Annual growth/change,2006,Percentage,0.203752
Canada,Multifactor productivity,Annual growth/change,2007,Percentage,-0.668129
Canada,Multifactor productivity,Annual growth/change,2008,Percentage,-1.019256
Canada,Multifactor productivity,Annual growth/change,2009,Percentage,-0.97091
Canada,Multifactor productivity,Annual growth/change,2010,Percentage,0.801636
Canada,Multifactor productivity,Annual growth/change,2011,Percentage,1.237158
Canada,Multifactor productivity,Annual growth/change,2012,Percentage,-0.192821
Canada,Multifactor productivity,Annual growth/change,2013,Percentage,0.8485739999999999
Canada,Multifactor productivity,Annual growth/change,2014,Percentage,1.925016
Canada,Multifactor productivity,Annual growth/change,2015,Percentage,-0.527337
Canada,Multifactor productivity,Annual growth/change,2016,Percentage,0.160885
Canada,Multifactor productivity,Annual growth/change,2017,Percentage,1.8338869999999998
Canada,Multifactor productivity,Annual growth/change,2018,Percentage,0.07030800000000001
Canada,Multifactor productivity,Annual growth/change,2019,Percentage,0.386783
Canada,Capital deepening,Annual growth/change,1985,Percentage,0.11252899999999999
Canada,Capital deepening,Annual growth/change,1986,Percentage,0.383816
Canada,Capital deepening,Annual growth/change,1987,Percentage,-0.041089
Canada,Capital deepening,Annual growth/change,1988,Percentage,0.874568
Canada,Capital deepening,Annual growth/change,1989,Percentage,2.022696
Canada,Capital deepening,Annual growth/change,1990,Percentage,3.211209
Canada,Capital deepening,Annual growth/change,1991,Percentage,6.084928
Canada,Capital deepening,Annual growth/change,1992,Percentage,3.496811
Canada,Capital deepening,Annual growth/change,1993,Percentage,1.704375
Canada,Capital deepening,Annual growth/change,1994,Percentage,0.42983599999999994
Canada,Capital deepening,Annual growth/change,1995,Percentage,1.536716
Canada,Capital deepening,Annual growth/change,1996,Percentage,1.430552
Canada,Capital deepening,Annual growth/change,1997,Percentage,1.601349
Canada,Capital deepening,Annual growth/change,1998,Percentage,2.525089
Canada,Capital deepening,Annual growth/change,1999,Percentage,1.973555
Canada,Capital deepening,Annual growth/change,2000,Percentage,2.6586529999999997
Canada,Capital deepening,Annual growth/change,2001,Percentage,4.068439
Canada,Capital deepening,Annual growth/change,2002,Percentage,1.861127
Canada,Capital deepening,Annual growth/change,2003,Percentage,1.9766
Canada,Capital deepening,Annual growth/change,2004,Percentage,1.8678119999999998
Canada,Capital deepening,Annual growth/change,2005,Percentage,4.0166059999999995
Canada,Capital deepening,Annual growth/change,2006,Percentage,3.635493
Canada,Capital deepening,Annual growth/change,2007,Percentage,2.9193540000000002
Canada,Capital deepening,Annual growth/change,2008,Percentage,3.152982
Canada,Capital deepening,Annual growth/change,2009,Percentage,5.801682
Canada,Capital deepening,Annual growth/change,2010,Percentage,0.810811
Canada,Capital deepening,Annual growth/change,2011,Percentage,1.449958
Canada,Capital deepening,Annual growth/change,2012,Percentage,1.5299
Canada,Capital deepening,Annual growth/change,2013,Percentage,1.7725279999999999
Canada,Capital deepening,Annual growth/change,2014,Percentage,2.5128909999999998
Canada,Capital deepening,Annual growth/change,2015,Percentage,0.968216
Canada,Capital deepening,Annual growth/change,2016,Percentage,0.550595
Canada,Capital deepening,Annual growth/change,2017,Percentage,0.229764
Canada,Capital deepening,Annual growth/change,2018,Percentage,-0.5278729999999999
Canada,Capital deepening,Annual growth/change,2019,Percentage,0.463204
Denmark,Total capital services,Annual growth/change,1985,Percentage,5.112641
Denmark,Total capital services,Annual growth/change,1986,Percentage,5.7534019999999995
Denmark,Total capital services,Annual growth/change,1987,Percentage,5.536402
Denmark,Total capital services,Annual growth/change,1988,Percentage,4.541180000000001
Denmark,Total capital services,Annual growth/change,1989,Percentage,5.004408
Denmark,Total capital services,Annual growth/change,1990,Percentage,4.653047
Denmark,Total capital services,Annual growth/change,1991,Percentage,4.448763
Denmark,Total capital services,Annual growth/change,1992,Percentage,3.7803760000000004
Denmark,Total capital services,Annual growth/change,1993,Percentage,3.5453550000000003
Denmark,Total capital services,Annual growth/change,1994,Percentage,3.903443
Denmark,Total capital services,Annual growth/change,1995,Percentage,4.2006120000000005
